FILE	SIZE
munch-business-onboarding-poster.webp	72252 bytes
munch-business-onboarding.mp4	6932374 bytes
step-01-download-munch.webp	52494 bytes
step-02-switch-to-business.webp	31702 bytes
step-03-create-account.webp	23110 bytes
step-04-verify-email.webp	28448 bytes
step-05-start-business-setup.webp	20958 bytes
step-06-add-business-details.webp	32014 bytes
step-07-pending-review.webp	38048 bytes
step-08-create-recurring-deal.webp	36984 bytes
step-08b-set-deal-times.webp	28044 bytes
step-09-deal-live.webp	46788 bytes
